"","X_key","Course.ID","EntityType","Name","Length..Hours.","Avg..User.Rating","Total.Enrollments","Total.Ratings","Organiser","Difficulty","Public.URL","uni"
"1384","8Ff23vBPEemKIw6D481vrg","8Ff23vBPEemKIw6D481vrg","COURSE","Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep",17,4.88888888888889,735,9,"Autodesk","Advanced","https://www.coursera.org/learn/autodesk-civil-3d-infrastructure-design",FALSE
"1390","wR2dUbELEeigbxJYe_5CzA","wR2dUbELEeigbxJYe_5CzA","COURSE","Doing More with SAS Programming",25,4.82532751091703,3539,229,"SAS","Intermediate","https://www.coursera.org/learn/sas-programming-advanced",FALSE
"1408","MN9u-_BQEemZRwojBDrEPA","MN9u-_BQEemZRwojBDrEPA","COURSE","Autodesk Certified Professional: Revit for Architectural Design Exam Prep",9,5,646,2,"Autodesk","Advanced","https://www.coursera.org/learn/autodesk-revit-architectural-design",FALSE
"1434","DmetrPp5EeScaiIAC9WIJw","DmetrPp5EeScaiIAC9WIJw","COURSE","Foundations of Teaching for Learning: Introduction",13,4.5626204238921,45684,519,"Commonwealth Education Trust","Mixed","https://www.coursera.org/learn/teaching",FALSE
"1438","oxwGHxp1EeqQQxIxeQaLNQ","oxwGHxp1EeqQQxIxeQaLNQ","COURSE","Building Batch Data Pipelines on GCP",12,4.86666666666667,420,15,"Google Cloud","Intermediate","https://www.coursera.org/learn/batch-data-pipelines-gcp",FALSE
"1447","LNuHxNhAEeaZmRJJvMGxKg","LNuHxNhAEeaZmRJJvMGxKg","COURSE","Data Communications and Network Services",9,4.78504672897196,10059,749,"Cisco","Beginner","https://www.coursera.org/learn/data-communication-network-services",FALSE
"1454","N52rKYv8Eemk2A6-vt0r4A","N52rKYv8Eemk2A6-vt0r4A","COURSE","G Suite Security",4,4.74407582938389,1655,211,"Google Cloud","Beginner","https://www.coursera.org/learn/g-suite-security",FALSE
"1461","tCOkAgkUEeeuzg7Mgy-XrA","tCOkAgkUEeeuzg7Mgy-XrA","COURSE","Fundamentals of Parallelism on Intel Architecture",7,4.60906515580737,7882,353,"Intel","Intermediate","https://www.coursera.org/learn/parallelism-ia",FALSE
"1468","4-qj5mYzEeeADwow0jg00A","4-qj5mYzEeeADwow0jg00A","COURSE","Gestão de Operações",20,4.80141843971631,5459,141,"Insper","Beginner","https://www.coursera.org/learn/gestao-de-operacoes",FALSE
"1470","pQ2CC7UQEeigigpB_Gk51A","pQ2CC7UQEeigigpB_Gk51A","COURSE","Intel® Network Academy - Network Transformation 101",18,4.53211009174312,5303,109,"Intel","Beginner","https://www.coursera.org/learn/network-transformation-101",FALSE
"1498","5fSeCLKeEeeAthJYvqnYpg","5fSeCLKeEeeAthJYvqnYpg","COURSE","Achieving Advanced Insights with BigQuery",8,4.69646182495345,4882,537,"Google Cloud","Beginner","https://www.coursera.org/learn/gcp-advanced-insights-bigquery",FALSE
"1515","Wp6z-dymEeWUwhJ351EtdQ","Wp6z-dymEeWUwhJ351EtdQ","COURSE","Development of Real-Time Systems",17,4.55102040816327,22177,343,"EIT Digital ","Intermediate","https://www.coursera.org/learn/real-time-systems",FALSE
"1527","xRWByeGQEea3uhKgRSNY-g","xRWByeGQEea3uhKgRSNY-g","COURSE","Home Networking Basics",7,4.71403197158082,9830,563,"Cisco","Beginner","https://www.coursera.org/learn/home-networking-basics",FALSE
"1538","X5Ts1I9fEeekZArNulnx4A","X5Ts1I9fEeekZArNulnx4A","COURSE","Autodesk Fusion 360 Integrated CAD/CAM/CAE",10,4.73793103448276,7599,580,"Autodesk","Intermediate","https://www.coursera.org/learn/fusion-360-integrated-cad-cam-cae",FALSE
"1546","DMj3I-RZEemNmw4gGersHg","DMj3I-RZEemNmw4gGersHg","COURSE","Developing AI Applications on Azure",15,5,572,1,"LearnQuest","Advanced","https://www.coursera.org/learn/developing-ai-applications-azure",FALSE
"1547","1cz3WSsXEeWccAqzeA4VPw","1cz3WSsXEeWccAqzeA4VPw","COURSE","Our Earth's Future",8,4.69444444444444,12688,324,"American Museum of Natural History","Mixed","https://www.coursera.org/learn/earth-climate-change",FALSE
"1551","IOsCj7pyEeewUQ7IuhPUJA","IOsCj7pyEeewUQ7IuhPUJA","COURSE","Introduction to XR: VR, AR, and MR Foundations",17,4.25925925925926,5178,54,"Unity","Beginner","https://www.coursera.org/learn/xr-introduction",FALSE
"1596","HnFitpbNEem7wBKNPRtTJg","HnFitpbNEem7wBKNPRtTJg","COURSE","G Suite Mail Management",4,4.83060109289617,1509,183,"Google Cloud","Beginner","https://www.coursera.org/learn/g-suite-mail-management",FALSE
