,X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL,uni
2407,v8BCQVu-EeWzUQ41NnCQkQ,v8BCQVu-EeWzUQ41NnCQkQ,COURSE,Robotics: Mobility,22,3.875,20354,472,University of Pennsylvania,Mixed,https://www.coursera.org/learn/robotics-mobility,TRUE
2408,ix4wfRhfEea3DxJjpF7HPw,ix4wfRhfEea3DxJjpF7HPw,COURSE,История и теория медиа (History and theory of media),25,4.647727273,8864,88,National Research University Higher School of Economics,Beginner,https://www.coursera.org/learn/teoriya-smi,TRUE
2409,dcf3MyCBEemPhgqpxKUPNg,dcf3MyCBEemPhgqpxKUPNg,COURSE,Бухгалтерский учет и аудит. Продвинутый курс,21,4.714285714,1371,7,Saint Petersburg State University,Mixed,https://www.coursera.org/learn/buhgalterskij-uchet-i-audit,TRUE
2410,_fzDUzGcEeiuOwoJ4gxrXA,_fzDUzGcEeiuOwoJ4gxrXA,COURSE,用 Python 做商管程式設計（三）(Programming for Business Computing in Python (3)),13,4.933333333,2107,60,National Taiwan University,Mixed,https://www.coursera.org/learn/pbc3,TRUE
2411,S_l3oRTkEemZwg47lHltUA,S_l3oRTkEemZwg47lHltUA,COURSE,Tu consultorio de Coaching en las ondas,12,4.881355932,1373,59,Universitat Autònoma de Barcelona,Beginner,https://www.coursera.org/learn/coaching-en-las-ondas,TRUE
2413,JumPbBn5EeWwrBKfKrqlSQ,JumPbBn5EeWwrBKfKrqlSQ,COURSE,Swift: programar para iOS,22,4.649006623,15100,302,Tecnológico de Monterrey,Mixed,https://www.coursera.org/learn/swift,TRUE
2414,GHhkynNMEeWKsgrp3VnvAw,GHhkynNMEeWKsgrp3VnvAw,COURSE,The City and You: Find Your Best Place,18,4.671641791,6868,67,University of Toronto,Beginner,https://www.coursera.org/learn/city-and-you-find-best-place,TRUE
2415,#NAME?,#NAME?,COURSE,Environmental Management & Ethics,16,4.622641509,4644,53,Technical University of Denmark (DTU),Mixed,https://www.coursera.org/learn/environmental-management-ethics,TRUE
2416,mt1WfTaSEeWWBQrVFXqd1w,mt1WfTaSEeWWBQrVFXqd1w,COURSE,Giving Sense to Your Leadership Experience,17,4.591772152,11789,316,HEC Paris,Mixed,https://www.coursera.org/learn/leading-sense,TRUE
2417,jp8K3mO7EeWtqwrXXCH3dQ,jp8K3mO7EeWtqwrXXCH3dQ,COURSE,Analyse numérique pour ingénieurs,32,4.523809524,11482,84,École Polytechnique Fédérale de Lausanne,Intermediate,https://www.coursera.org/learn/analyse-numerique,TRUE
