Course Link,Title,Short Description,Length,Effort,Price,Institution,Subject,Level,Language,Already Enrolled,,,
https://www.edx.org/course/italian-language-and-culture-beginner-2019-2020,Italian Language and Culture: Beginner (2019-2020),"Learn the basics of the Italian language and culture through videos, podcasts, interviews, and much more.",12 Weeks,2-5 hours per week,$49 USD,WellesleyX,Language,Introductory,Italiano,172091,,,
https://www.edx.org/course/how-to-write-an-essay,How to Write an Essay,"An introduction to academic writing for English Language Learners, focusing on essay development, grammatical correctness, and self-editing.",5 Weeks,5-6 hours per week,$49 USD,BerkeleyX,Humanities,Introductory,English,298288,,,
https://www.edx.org/course/backyard-meteorology-the-science-of-weather,Backyard Meteorology: The Science of Weather,Learn to forecast the weather just by looking out your window.,6 Weeks,3-5 hours per week,$49 USD,HarvardX,Science,Introductory,English,59863,,,
https://www.edx.org/course/steps-in-japanese-for-beginners1-part1-2,Steps in Japanese for Beginners1 Part1,Learn basic Japanese expressions to survive in Japanese.,5 Weeks,3-5 hours per week,$49 USD,WasedaX,Language,Introductory,English,48464,,,
https://www.edx.org/course/buddhism-through-its-scriptures,Buddhism Through Its Scriptures,"Learn about the rich and diverse beliefs and practices of Buddhists across time and place. Experience Buddhism through its scriptures, both relationally as well as academically.",4 Weeks,5-10 hours per week,$49 USD,HarvardX,Humanities,Introductory,English,178490,,,
https://www.edx.org/course/technology-entrepreneurship-lab-to-market,Technology Entrepreneurship: Lab to Market,Explore how entrepreneurs build successful businesses by moving technology from lab to market.,5 Weeks,2-4 hours per week,$99 USD,HarvardX,Business & Management,Introductory,English,51102,,,
https://www.edx.org/course/strengthening-community-health-worker-programs,Strengthening Community Health Worker Programs,Learn to deliver high-quality primary health care at scale through national community health worker programs.,6 Weeks,2-4 hours per week,$79 USD,HarvardX,Health & Safety,Introductory,English,55374,,,
https://www.edx.org/course/data-science-inference-and-modeling,Data Science: Inference and Modeling,"Learn inference and modeling, two of the most widely used statistical tools in data analysis.",8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,English,83601,,,
https://www.edx.org/course/artificial-intelligence-for-everyone,AI for Everyone: Master the Basics,"Learn what Artificial Intelligence (AI) is by understanding its applications and key concepts including machine learning, deep learning and neural networks.",4 Weeks,1-2 hours per week,$49 USD,IBM,Computer Science,Introductory,English,43362,,,
https://www.edx.org/course/computing-in-python-i-fundamentals-and-procedural,Computing in Python I: Fundamentals and Procedural Programming,"Learn the fundamentals of computing in Python, including variables, operators, and writing and debugging your own programs.",5 Weeks,9-10 hours per week,$99 USD,GTx,Computer Science,Introductory,English,133700,,,
https://www.edx.org/course/introduction-to-c-3,Introduction to C++,Get a brief introduction to the C++ language from the experts at Microsoft.,4 Weeks,3-5 hours per week,$99 USD,Microsoft,Computer Science,Introductory,English,325392,,,
https://www.edx.org/course/marketing-digital-content-community-manager,Marketing Digital: Content & Community Manager,"Aprende a crear estrategias de marketing de contenidos y domina Facebook, Instagram, YouTube, Twitter y más. Mide KPIs y obten resultados.",5 Weeks,3-4 hours per week,$49 USD,GalileoX,Communication,Introductory,Español,104765,,,
https://www.edx.org/course/fundamentals-of-neuroscience-part-2-neurons-and-ne,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Discover how neurons work together to create complex networks inside the brain.,6 Weeks,3-5 hours per week,$99 USD,HarvardX,Biology & Life Sciences,Introductory,English,81773,,,
https://www.edx.org/course/fat-chance-probability-from-the-ground-up-2,Fat Chance: Probability from the Ground Up,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,7 Weeks,3-5 hours per week,$49 USD,HarvardX,Math,Introductory,English,62129,,,
https://www.edx.org/course/data-science-capstone,Data Science: Capstone,Show what you've learned from the Professional Certificate Program in Data Science.,2 Weeks,15-20 hours per week,$99 USD,HarvardX,Data Analysis & Statistics,Introductory,English,60073,,,
https://www.edx.org/course/data-science-linear-regression,Data Science: Linear Regression,"Learn how to use R to implement linear regression, one of the most common statistical modeling approaches in data science.",8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,English,71765,,,
https://www.edx.org/course/introduction-to-linux,Introduction to Linux,Never learned Linux? Want a refresh? Develop a good working knowledge of Linux using both the graphical interface and command line across the major Linux distribution families.,14 Weeks,5-7 hours per week,$199 USD,LinuxFoundationX,Computer Science,Introductory,English,627815,,,
https://www.edx.org/course/bioethics-the-law-medicine-and-ethics-of-reproduct,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",An introduction to the study of bioethics and the application of legal and ethical reasoning.,10 Weeks,1-2 hours per week,$99 USD,HarvardX,Medicine,Introductory,English,76121,,,
https://www.edx.org/course/anatomyx-musculoskeletal-cases,AnatomyX: Musculoskeletal Cases,Learn the anatomy basic to understanding five musculoskeletal injuries commonly seen in primary care medicine and orthopedic clinical specialty practice. Follow hypothetical patients from injury to operating room.,7 Weeks,3-6 hours per week,$99 USD,HarvardX,Medicine,Intermediate,English,92942,,,
https://www.edx.org/course/analyzing-data-with-python,Analyzing Data with Python,"In this course, you will learn how to analyze data in Python using multi-dimensional arrays in numpy, manipulate DataFrames in pandas, use SciPy library of mathematical routines, and perform machine learning using scikit-learn!",5 Weeks,2-4 hours per week,$39 USD,IBM,Data Analysis & Statistics,Introductory,English,88574,,,
https://www.edx.org/course/academic-and-business-writing,Academic and Business Writing,"An introduction to academic and business writing for English Language Learners, focusing on grammar, vocabulary, structure, editing, and publication.",6 Weeks,3-5 hours per week,$49 USD,BerkeleyX,Communication,Introductory,English,315910,,,
https://www.edx.org/course/shakespeares-life-and-work,Shakespeare's Life and Work,"Learn how to read William Shakespeare's plays through his biography, Elizabethan and Jacobean history, and modern performance.",4 Weeks,5-7 hours per week,$49 USD,HarvardX,Humanities,Introductory,English,45552,,,
https://www.edx.org/course/learn-to-program-in-java-2,Learn to Program in Java,Get started on the path to becoming a software engineer by learning core coding skills in Java--one of the most popular programming languages.,4 Weeks,6-10 hours per week,$99 USD,Microsoft,Computer Science,Introductory,English,231889,,,
https://www.edx.org/course/religion-conflict-and-peace,"Religion, Conflict and Peace",Explore the diverse and complex roles that religions play in both promoting and mitigating violence.,8 Weeks,4-8 hours per week,$50 USD,HarvardX,Humanities,Introductory,English,72147,,,
https://www.edx.org/course/excel-gestion-de-datos,Excel: gestión de datos,"En este curso profundizarás en las técnicas y herramientas para el tratamiento, manejo y análisis de datos que puedes utilizar en Microsoft Excel para la toma de decisiones.",6 Weeks,4-6 hours per week,$75 USD,UPValenciaX,Computer Science,Intermediate,Español,107083,,,
https://www.edx.org/course/becoming-an-entrepreneur,Becoming an Entrepreneur,"Learn the business skills and startup mindset needed to embark on your entrepreneurial path from the premier program for aspiring entrepreneurs, MIT Launch.",6 Weeks,1-3 hours per week,$69 USD,MITx,Business & Management,Introductory,English,99072,,,
https://www.edx.org/course/nutrition-exercise-and-sports,"Nutrition, Exercise and Sports","Learn about Nutrition, Exercise and Sports and understand how nutrition can support exercise and sports performance.",6 Weeks,4-8 hours per week,$49 USD,WageningenX,Food & Nutrition,Intermediate,English,46244,,,
https://www.edx.org/course/fundamentals-of-neuroscience-part-3-the-brain,"Fundamentals of Neuroscience, Part 3: The Brain",Discover what makes your brain tick in this third course in our introductory series in neuroscience.,8 Weeks,3-5 hours per week,$99 USD,HarvardX,Biology & Life Sciences,Introductory,English,81299,,,
https://www.edx.org/course/computer-science-101,Computer Science 101,Introduction to Computer Science for a zero-prior-experience audience. Play with little phrases of code to understand what computers are all about.,6 Weeks,4-6 hours per week,$149 USD,StanfordOnline,Computer Science,Introductory,English,34679,,,
https://www.edx.org/course/intro-to-data-science,Introduction to Data Science,Learn about the world of data science first-hand from real data scientists.,6 Weeks,3-6 hours per week,$39 USD,IBM,Data Analysis & Statistics,Introductory,English,38158,,,
https://www.edx.org/course/data-science-productivity-tools,Data Science: Productivity Tools,"Keep your projects organized and produce reproducible reports using GitHub, git, Unix/Linux, and RStudio.",8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,English,63198,,,
https://www.edx.org/course/basics-of-computing-and-programming,Basics of Computing and Programming,This is a self-paced course from NYU that provides an Introduction to Computing and Programming,9 Weeks,6-8 hours per week,$200 USD,NYUx,Computer Science,Introductory,English,34730,,,
https://www.edx.org/course/high-dimensional-data-analysis,High-Dimensional Data Analysis,A focus on several techniques that are widely used in the analysis of high-dimensional data.,4 Weeks,2-4 hours per week,$149 USD,HarvardX,Data Analysis & Statistics,Advanced,English,77042,,,
https://www.edx.org/course/accounting-and-finance,Accounting and Finance,Develop financial acumen to manage your business successfully.,11 Weeks,2-4 hours per week,$150 USD,IIMBx,Business & Management,Intermediate,English,83054,,,
https://www.edx.org/course/humanitarian-response-to-conflict-and-disaster,Humanitarian Response to Conflict and Disaster,"Learn the principles guiding humanitarian response to modern emergencies, and the challenges faced in the field today.",5 Weeks,3-4 hours per week,$99 USD,HarvardX,Health & Safety,Introductory,English,117156,,,
https://www.edx.org/course/introduction-to-kubernetes,Introduction to Kubernetes,Want to learn Kubernetes? Get an in-depth primer on this powerful system for managing containerized applications.,14 Weeks,2-3 hours per week,$199 USD,LinuxFoundationX,Computer Science,Introductory,English,135756,,,
https://www.edx.org/course/tangible-things-discovering-history-through-artwor,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You","Gain an understanding of history, museum studies, and curation by looking at, organizing, and interpreting art, artifacts, scientific curiosities, and the stuff of everyday life.",10 Weeks,1-3 hours per week,$49 USD,HarvardX,Humanities,Introductory,English,58593,,,
https://www.edx.org/course/html5-and-css-fundamentals,HTML5 and CSS Fundamentals,"Learn how to build Web sites using HTML5 and basic CSS, directly from W3C, creator of the latest Web standards.",6 Weeks,4-6 hours per week,$199 USD,W3Cx,Computer Science,Introductory,English,330227,,,
https://www.edx.org/course/data-science-wrangling,Data Science: Wrangling,Learn to process and convert raw data into formats needed for analysis.,8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,English,61570,,,
https://www.edx.org/course/a-hands-on-introduction-to-engineering-simulations,A Hands-on Introduction to Engineering Simulations,Learn how to analyze real-world engineering problems using ANSYS simulation software and gain important professional skills sought by employers.,6 Weeks,4-6 hours per week,$199 USD,CornellX,Engineering,Intermediate,English,179805,,,
https://www.edx.org/course/machine-learning-with-python-a-practical-introduct,Machine Learning with Python: A Practical Introduction,Machine Learning can be an incredibly beneficial tool to uncover hidden insights and predict future trends. This Machine Learning with Python course will give you all the tools you need to get started with supervised and unsupervised learning.,5 Weeks,4-6 hours per week,$39 USD,IBM,Data Analysis & Statistics,Introductory,English,75127,,,
https://www.edx.org/course/citiesx-the-past-present-and-future-of-urban-life,"CitiesX: The Past, Present and Future of Urban Life","Explore what makes cities energizing, amazing, challenging, and perhaps humanity’s greatest invention.",11 Weeks,5-7 hours per week,$99 USD,HarvardX,Social Sciences,Introductory,English,73098,,,
https://www.edx.org/course/masterpieces-of-world-literature,Masterpieces of World Literature,"Embark on a global journey to explore the past, present, and future of World Literature.",12 Weeks,5-7 hours per week,$149 USD,HarvardX,Literature,Introductory,English,84415,,,
https://www.edx.org/course/the-psychology-of-criminal-justice,The Psychology of Criminal Justice,Learn how behavioural science can improve our criminal justice system.,8 Weeks,1-2 hours per week,$99 USD,UQx,Humanities,Introductory,English,105106,,,
https://www.edx.org/course/covid-19-ventilacion-mecanica-para-no-intensivistas,Covid - 19: Ventilación mecánica para no intensivistas,"Aborda aspectos relacionados con las medidas de protección y bioseguridad, intubación orotraqueal, ventilación mecánica, Síndrome de Dificultad Aguda Respiratoria en el marco de la contingencia actual mundial por el coronavirus.",2 Weeks,3-5 hours per week,$10 USD,JaverianaX,Medicine,Introductory,Español,29972,,,
