X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL
aWeQOYdaEeacLAowENVELw,aWeQOYdaEeacLAowENVELw,COURSE,Business English: Marketing and Sales,12,4.767955801104972,9830,181,Arizona State University,Intermediate,https://www.coursera.org/learn/marketing-sales-english
BwKNlSxKEei1rhIOBe4xWg,BwKNlSxKEei1rhIOBe4xWg,COURSE,Blockchain: Foundations and Use Cases,15,4.676392572944297,27053,377,ConsenSys Academy,Beginner,https://www.coursera.org/learn/blockchain-foundations-and-use-cases
WaKiiuSYEeSRgCIACxAE0Q,WaKiiuSYEeSRgCIACxAE0Q,COURSE,Hacia una práctica constructivista en el aula,22,4.830188679245283,51672,689,Pontificia Universidad Católica de Chile,Mixed,https://www.coursera.org/learn/aulaconstructivista
Ffu_H13iEeWozxKwtAxdTQ,Ffu_H13iEeWozxKwtAxdTQ,COURSE,Industrial Biotechnology,13,4.641456582633054,14687,357,University of Manchester   ,Beginner,https://www.coursera.org/learn/industrial-biotech
8vncPacwEeiKugo0JMNA0g,8vncPacwEeiKugo0JMNA0g,COURSE,Cuidado de heridas en el ámbito hospitalario,12,4.771844660194175,8497,206,Universidad Nacional Autónoma de México,Intermediate,https://www.coursera.org/learn/cuidado-heridas
z2uvwHGtEeWLqw7zlLhRzQ,z2uvwHGtEeWLqw7zlLhRzQ,COURSE,Understanding Memory: Explaining the Psychology of Memory through Movies,10,4.645189003436426,74117,1164,Wesleyan University,Mixed,https://www.coursera.org/learn/memory-and-movies
b_ubIzckEeeeFwoohRNaig,b_ubIzckEeeeFwoohRNaig,COURSE,Probability and Statistics: To p or not to p?,22,4.545945945945946,11283,185,University of London,Beginner,https://www.coursera.org/learn/probability-statistics
6DwzaCw7EeWGvAojQA48rw,6DwzaCw7EeWGvAojQA48rw,COURSE,Introduction to Game Design,11,4.695963541666667,51392,1536,California Institute of the Arts,Beginner,https://www.coursera.org/learn/game-design
CudWCv2JEeiDYwpgch3Gdg,CudWCv2JEeiDYwpgch3Gdg,COURSE,Aspectos básicos de la asistencia técnica,25,4.891364902506964,3579,359,Crece con Google,Beginner,https://www.coursera.org/learn/asistencia-tecnica
6knu7KfQEeilbxKRbz37rg,6knu7KfQEeilbxKRbz37rg,COURSE,Inferential Statistical Analysis with Python,21,4.379310344827586,6572,203,University of Michigan,Intermediate,https://www.coursera.org/learn/inferential-statistical-analysis-python
aRtcBiQDEeSddyIACzYDOg,aRtcBiQDEeSddyIACzYDOg,COURSE,The Science of Gastronomy,16,4.616949152542372,40729,295,The Hong Kong University of Science and Technology,Mixed,https://www.coursera.org/learn/gastronomy
sQEO1tohEeSQryIAC46GNw,sQEO1tohEeSQryIAC46GNw,COURSE,Introduction to International Criminal Law,6,4.796075085324232,67689,1172,Case Western Reserve University,Mixed,https://www.coursera.org/learn/international-criminal-law
qvN49o9eEeebBBJ8AIlx3A,qvN49o9eEeebBBJ8AIlx3A,COURSE,Intro to Digital Manufacturing with Autodesk Fusion 360,9,4.632950990615224,11547,959,Autodesk,Beginner,https://www.coursera.org/learn/introduction-digital-manufacturing-fusion-360
EY1eYhVKEeeWtArT3kwAZg,EY1eYhVKEeeWtArT3kwAZg,COURSE,"JavaScript, часть 1: основы и функции",20,4.517441860465116,14789,516,"E-Learning Development Fund, Moscow Institute of Physics and Technology, Yandex",Intermediate,https://www.coursera.org/learn/javascript-osnovy-i-funktsii
